208	14
1	1	1	6	1	1	6	29	5	3	2	29	5	3	3	29	1	1	1	6	6	29	5	3	2	29	5	3	2	29	5	3	2	29	5	3	2	29	5	3	3	29	3	3	1	1	3	3	1	1	1	6	3	3	1	1	1	6	1	6	3	3	1	1	3	3	3	3	3	3	1	6	1	1	3	3	1	6	6	29	5	3	3	29	1	6	58	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	74	3	3	3	3	3	3	3	3	3	
2	5	2	1	2	5	2	30	35	38	42	30	35	38	42	1	2	5	2	1	2	30	35	38	42	30	35	38	42	30	35	38	42	30	35	38	42	30	35	38	42	1	3	3	2	5	3	3	2	5	2	1	3	3	2	5	2	1	2	1	3	3	2	5	3	3	3	3	3	3	2	1	2	5	3	3	2	1	2	30	35	38	42	1	2	1	59	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	69	72	75	76	3	3	3	3	3	3	3	3	
1	6	3	3	3	3	26	31	36	39	43	31	36	39	45	3	3	3	3	3	26	31	36	39	43	31	36	39	43	31	36	39	43	31	36	39	43	31	36	39	45	3	1	1	1	6	3	3	3	3	3	3	1	1	1	6	1	1	1	1	3	3	3	3	1	6	1	6	3	3	1	1	3	3	3	3	3	3	26	31	36	39	45	3	1	1	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	70	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	66	62	77	79	89	99	110	113	113	113	
2	1	3	3	3	3	27	32	37	40	27	44	37	40	3	3	3	3	3	3	27	32	37	40	27	44	37	40	27	44	37	40	27	44	37	40	27	44	37	40	3	3	2	5	2	1	3	3	3	3	3	3	2	5	2	1	2	5	2	5	3	3	3	3	2	1	2	1	3	3	2	5	3	3	3	3	3	3	27	32	37	40	3	3	2	5	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	61	65	60	64	60	64	60	64	60	64	60	64	61	65	61	65	61	65	61	65	61	65	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	61	65	61	65	60	64	71	73	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	67	63	78	80	90	100	109	114	114	114	
3	3	9	16	16	24	16	33	9	16	16	33	9	16	9	16	16	24	16	24	16	24	16	33	9	16	16	24	16	24	16	33	16	33	9	16	16	24	16	24	9	16	16	24	16	24	16	33	3	3	1	6	3	3	3	3	9	16	16	24	16	24	16	24	16	33	3	3	3	3	3	3	3	3	9	16	16	24	16	24	16	24	16	24	16	33	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	60	64	60	64	60	64	60	64	60	64	11	18	11	18	11	18	11	18	11	18	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	11	18	11	18	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	81	91	100	109	112	112	112	
3	3	10	17	23	25	28	34	10	17	28	34	10	17	10	17	23	25	23	25	23	25	28	34	10	17	23	25	23	25	28	34	28	34	10	17	23	25	23	25	10	17	23	25	23	25	28	34	3	3	2	1	3	3	3	3	10	17	23	25	23	25	23	25	28	34	3	3	3	3	3	3	3	3	10	17	23	25	23	25	23	25	23	25	28	34	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	61	65	61	65	61	65	61	65	61	65	12	19	12	19	12	19	12	19	12	19	60	64	61	65	61	65	60	64	60	64	60	64	60	64	60	64	61	65	12	19	12	19	60	64	61	65	61	65	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	61	65	61	65	61	65	61	65	60	64	60	64	60	82	92	101	109	112	112	112	
3	3	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	52	55	52	55	52	55	52	55	11	18	11	18	11	18	11	18	11	18	52	55	52	55	52	55	52	55	11	18	11	18	11	18	11	18	11	18	11	18	11	18	11	18	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	11	18	11	18	11	18	11	18	11	18	11	18	11	18	13	20	13	20	13	20	13	20	60	64	11	18	11	18	60	64	60	64	60	64	60	64	60	64	11	18	11	18	13	20	60	64	11	18	11	18	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	60	64	11	18	11	18	11	18	11	18	60	64	60	64	60	83	93	102	109	112	112	112	
3	3	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	53	56	56	56	56	56	56	57	12	19	12	19	12	19	12	19	12	19	53	56	56	56	56	56	56	57	12	19	12	19	12	19	12	19	12	19	12	19	12	19	12	19	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	12	19	12	19	12	19	12	19	12	19	12	19	12	19	14	21	14	21	14	21	14	21	61	65	12	19	12	19	60	64	61	65	61	65	60	64	60	64	12	19	12	19	14	21	60	64	12	19	12	19	61	65	61	65	61	65	61	65	60	64	60	64	60	64	60	64	60	64	61	65	61	65	12	19	12	19	12	19	12	19	61	65	60	64	60	84	94	103	109	112	112	112	
4	4	13	20	13	20	13	20	13	20	11	18	11	18	11	18	13	20	13	20	13	20	13	20	13	20	11	18	11	18	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	4	4	4	4	4	4	4	4	13	20	13	20	13	20	13	20	13	20	4	4	4	4	4	4	4	4	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	11	18	11	18	11	18	11	18	11	18	11	18	11	18	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	13	20	11	18	11	18	11	18	13	20	60	64	11	18	11	18	60	64	60	64	13	20	13	20	13	20	60	64	13	20	11	18	11	18	11	18	11	18	11	18	60	64	60	64	60	64	60	64	60	64	11	18	11	18	13	20	13	20	13	20	13	20	11	18	60	64	60	85	95	104	108	115	115	115	
4	4	14	21	14	21	14	21	14	21	12	19	12	19	12	19	14	21	14	21	14	21	14	21	14	21	12	19	12	19	14	21	14	21	14	21	14	21	14	21	11	18	11	18	11	18	14	21	4	4	4	4	4	4	4	4	14	21	14	21	14	21	14	21	14	21	4	4	4	4	4	4	4	4	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	11	18	11	18	14	21	12	19	12	19	12	19	12	19	12	19	12	19	12	19	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	14	21	11	18	14	21	12	19	12	19	12	19	14	21	60	64	12	19	12	19	61	65	61	65	14	21	14	21	11	18	60	64	14	21	12	19	12	19	12	19	12	19	12	19	60	64	60	64	61	65	61	65	60	64	12	19	12	19	14	21	11	18	11	18	11	18	12	19	61	65	60	86	96	105	109	112	112	112	
